TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
NEXT EXPERIMENT0,0.0,-0.5,3.0,0.5,0.01,2.0
1,0.0,-0.5,3.0,0.5,0.01,2.0
2,0.0,-0.5,3.0,0.5,0.01,2.0
3,0.0,-0.5,3.0,0.5,0.01,2.0
4,0.0,-0.5,3.0,0.5,0.01,2.0
5,0.0,-0.5,3.0,0.5,0.01,2.0
6,0.0,-0.5,3.0,0.5,0.01,2.0
7,0.0,-0.5,3.0,0.5,0.01,2.0
8,0.0,-0.5,3.0,0.5,0.01,2.0
9,0.0,-0.5,3.0,0.5,0.01,2.0
10,0.0,-0.5,3.0,0.5,0.01,2.0
11,0.0,-0.5,3.0,0.5,0.01,2.0
12,0.0,-0.5,3.0,0.5,0.01,2.0
13,0.0,-0.5,3.0,0.5,0.01,2.0
14,0.0,-0.5,3.0,0.5,0.01,2.0
15,0.0,-0.5,3.0,0.5,0.01,2.0
16,0.0,-0.5,3.0,0.5,0.01,2.0
17,0.0,-0.5,3.0,0.5,0.01,2.0
18,0.0,-0.5,3.0,0.5,0.01,2.0
19,0.0,-0.5,3.0,0.5,0.01,2.0
20,0.0,-0.5,3.0,0.5,0.01,2.0
21,0.0,-0.5,3.0,0.5,0.01,2.0
22,0.0,-0.5,3.0,0.5,0.01,2.0
23,0.0,-0.5,3.0,0.5,0.01,2.0
24,0.0,-0.5,3.0,0.5,0.01,2.0
25,0.0,-0.5,3.0,0.5,0.01,2.0
26,0.0,-0.5,3.0,0.5,0.01,2.0
27,0.0,-0.5,3.0,0.5,0.01,2.0
28,0.0,495.41,3.0,0.5,0.01,2.0
29,0.0,495.41,3.0,0.5,0.01,2.0
30,0.0,495.41,3.0,0.5,0.01,2.0
31,0.0,495.41,3.0,0.5,0.01,2.0
32,0.0,495.41,3.0,0.5,0.01,2.0
33,1.0,495.41,3.0,0.5,0.01,2.0
34,1.0,495.41,3.0,0.5,0.01,2.0
35,2.0,495.41,3.0,0.5,0.01,2.0
36,3.0,495.41,3.0,0.5,0.01,2.0
37,4.0,495.41,3.0,0.5,0.01,2.0
38,5.0,495.41,3.0,0.5,0.01,2.0
39,6.0,495.41,3.0,0.5,0.01,2.0
40,7.0,495.41,3.0,0.5,0.01,2.0
41,9.0,495.41,3.0,0.5,0.01,2.0
42,10.0,495.41,3.0,0.5,0.01,2.0
43,12.0,495.41,3.0,0.5,0.01,2.0
44,14.0,495.41,3.0,0.5,0.01,2.0
45,15.0,495.41,3.0,0.5,0.01,2.0
46,17.0,495.41,3.0,0.5,0.01,2.0
47,19.0,495.41,3.0,0.5,0.01,2.0
48,21.0,249.91,3.0,0.5,0.01,2.0
49,23.0,249.91,3.0,0.5,0.01,2.0
50,25.0,249.91,3.0,0.5,0.01,2.0
51,28.0,249.91,3.0,0.5,0.01,2.0
52,30.0,249.91,3.0,0.5,0.01,2.0
53,32.0,249.91,3.0,0.5,0.01,2.0
54,35.0,249.91,3.0,0.5,0.01,2.0
55,37.0,249.91,3.0,0.5,0.01,2.0
56,40.0,249.91,3.0,0.5,0.01,2.0
57,42.0,249.91,3.0,0.5,0.01,2.0
58,45.0,249.91,3.0,0.5,0.01,2.0
59,48.0,249.91,3.0,0.5,0.01,2.0
60,51.0,249.91,3.0,0.5,0.01,2.0
61,53.0,249.91,3.0,0.5,0.01,2.0
62,56.0,249.91,3.0,0.5,0.01,2.0
63,59.0,249.91,3.0,0.5,0.01,2.0
64,62.0,249.91,3.0,0.5,0.01,2.0
65,65.0,249.91,3.0,0.5,0.01,2.0
66,68.0,249.91,3.0,0.5,0.01,2.0
67,71.0,249.91,3.0,0.5,0.01,2.0
68,74.0,249.91,3.0,0.5,0.01,2.0
69,77.0,248.08,3.0,0.5,0.01,2.0
70,81.0,248.08,3.0,0.5,0.01,2.0
71,84.0,248.08,3.0,0.5,0.01,2.0
72,87.0,248.08,3.0,0.5,0.01,2.0
73,91.0,248.08,3.0,0.5,0.01,2.0
74,94.0,248.08,3.0,0.5,0.01,2.0
75,97.0,248.08,3.0,0.5,0.01,2.0
76,101.0,248.08,3.0,0.5,0.01,2.0
77,104.0,248.08,3.0,0.5,0.01,2.0
78,108.0,248.08,3.0,0.5,0.01,2.0
79,111.0,248.08,3.0,0.5,0.01,2.0
80,115.0,248.08,3.0,0.5,0.01,2.0
81,118.0,248.08,3.0,0.5,0.01,2.0
82,122.0,248.08,3.0,0.5,0.01,2.0
83,125.0,248.08,3.0,0.5,0.01,2.0
84,129.0,248.08,3.0,0.5,0.01,2.0
85,132.0,248.08,3.0,0.5,0.01,2.0
86,136.0,248.08,3.0,0.5,0.01,2.0
87,140.0,248.08,3.0,0.5,0.01,2.0
88,144.0,248.08,3.0,0.5,0.01,2.0
89,147.0,243.55,3.0,0.5,0.01,2.0
90,151.0,243.55,3.0,0.5,0.01,2.0
91,155.0,243.55,3.0,0.5,0.01,2.0
92,159.0,243.55,3.0,0.5,0.01,2.0
93,162.0,243.55,3.0,0.5,0.01,2.0
94,166.0,243.55,3.0,0.5,0.01,2.0
95,170.0,243.55,3.0,0.5,0.01,2.0
96,174.0,243.55,3.0,0.5,0.01,2.0
97,178.0,243.55,3.0,0.5,0.01,2.0
98,181.0,243.55,3.0,0.5,0.01,2.0
99,185.0,243.55,3.0,0.5,0.01,2.0
100,189.0,243.55,3.0,0.5,0.01,2.0
101,193.0,243.55,3.0,0.5,0.01,2.0
102,197.0,243.55,3.0,0.5,0.01,2.0
103,201.0,243.55,3.0,0.5,0.01,2.0
104,205.0,243.55,3.0,0.5,0.01,2.0
105,209.0,243.55,3.0,0.5,0.01,2.0
106,213.0,243.55,3.0,0.5,0.01,2.0
107,217.0,243.55,3.0,0.5,0.01,2.0
108,221.0,243.55,3.0,0.5,0.01,2.0
109,225.0,239.14,3.0,0.5,0.01,2.0
110,229.0,239.14,3.0,0.5,0.01,2.0
111,233.0,239.14,3.0,0.5,0.01,2.0
112,237.0,239.14,3.0,0.5,0.01,2.0
113,241.0,239.14,3.0,0.5,0.01,2.0
114,245.0,239.14,3.0,0.5,0.01,2.0
115,249.0,239.14,3.0,0.5,0.01,2.0
116,253.0,239.14,3.0,0.5,0.01,2.0
117,257.0,239.14,3.0,0.5,0.01,2.0
118,261.0,239.14,3.0,0.5,0.01,2.0
119,265.0,239.14,3.0,0.5,0.01,2.0
120,269.0,239.14,3.0,0.5,0.01,2.0
121,273.0,239.14,3.0,0.5,0.01,2.0
122,277.0,239.14,3.0,0.5,0.01,2.0
123,282.0,239.14,3.0,0.5,0.01,2.0
124,287.0,239.14,3.0,0.5,0.01,2.0
125,291.0,239.14,3.0,0.5,0.01,2.0
126,295.0,239.14,3.0,0.5,0.01,2.0
127,299.0,239.14,3.0,0.5,0.01,2.0
128,303.0,239.14,3.0,0.5,0.01,2.0
129,307.0,234.78,3.0,0.5,0.01,2.0
130,312.0,234.78,3.0,0.5,0.01,2.0
131,316.0,234.78,3.0,0.5,0.01,2.0
132,320.0,234.78,3.0,0.5,0.01,2.0
133,324.0,234.78,3.0,0.5,0.01,2.0
134,328.0,234.78,3.0,0.5,0.01,2.0
135,333.0,234.78,3.0,0.5,0.01,2.0
136,338.0,234.78,3.0,0.5,0.01,2.0
137,342.0,234.78,3.0,0.5,0.01,2.0
138,346.0,234.78,3.0,0.5,0.01,2.0
139,350.0,234.78,3.0,0.5,0.01,2.0
140,354.0,234.78,3.0,0.5,0.01,2.0
141,359.0,234.78,3.0,0.5,0.01,2.0
142,363.0,234.78,3.0,0.5,0.01,2.0
143,366.0,234.78,3.0,0.5,0.01,2.0
144,370.0,234.78,3.0,0.5,0.01,2.0
145,374.0,234.78,3.0,0.5,0.01,2.0
146,379.0,234.78,3.0,0.5,0.01,2.0
147,384.0,234.78,3.0,0.5,0.01,2.0
148,388.0,234.78,3.0,0.5,0.01,2.0
149,392.0,230.05,3.0,0.5,0.01,2.0
150,397.0,230.05,3.0,0.5,0.01,2.0
151,401.0,230.05,3.0,0.5,0.01,2.0
152,405.0,230.05,3.0,0.5,0.01,2.0
153,409.0,230.05,3.0,0.5,0.01,2.0
154,413.0,230.05,3.0,0.5,0.01,2.0
155,418.0,230.05,3.0,0.5,0.01,2.0
156,422.0,230.05,3.0,0.5,0.01,2.0
157,426.0,230.05,3.0,0.5,0.01,2.0
158,430.0,230.05,3.0,0.5,0.01,2.0
159,435.0,230.05,3.0,0.5,0.01,2.0
160,440.0,230.05,3.0,0.5,0.01,2.0
161,444.0,230.05,3.0,0.5,0.01,2.0
162,448.0,230.05,3.0,0.5,0.01,2.0
163,453.0,230.05,3.0,0.5,0.01,2.0
164,457.0,230.05,3.0,0.5,0.01,2.0
165,461.0,230.05,3.0,0.5,0.01,2.0
166,465.0,230.05,3.0,0.5,0.01,2.0
167,470.0,230.05,3.0,0.5,0.01,2.0
168,474.0,230.05,3.0,0.5,0.01,2.0
169,477.0,225.44,3.0,0.5,0.01,2.0
170,481.0,225.44,3.0,0.5,0.01,2.0
171,485.0,225.44,3.0,0.5,0.01,2.0
172,489.0,225.44,3.0,0.5,0.01,2.0
173,493.0,225.44,3.0,0.5,0.01,2.0
174,498.0,225.44,3.0,0.5,0.01,2.0
175,503.0,225.44,3.0,0.5,0.01,2.0
176,507.0,225.44,3.0,0.5,0.01,2.0
177,511.0,225.44,3.0,0.5,0.01,2.0
178,516.0,225.44,3.0,0.5,0.01,2.0
179,520.0,225.44,3.0,0.5,0.01,2.0
180,524.0,225.44,3.0,0.5,0.01,2.0
181,528.0,225.44,3.0,0.5,0.01,2.0
182,534.0,225.44,3.0,0.5,0.01,2.0
183,538.0,225.44,3.0,0.5,0.01,2.0
184,542.0,225.44,3.0,0.5,0.01,2.0
185,547.0,225.44,3.0,0.5,0.01,2.0
186,552.0,225.44,3.0,0.5,0.01,2.0
187,556.0,225.44,3.0,0.5,0.01,2.0
188,560.0,225.44,3.0,0.5,0.01,2.0
189,565.0,221.06,3.0,0.5,0.01,2.0
190,569.0,221.06,3.0,0.5,0.01,2.0
191,573.0,221.06,3.0,0.5,0.01,2.0
192,579.0,221.06,3.0,0.5,0.01,2.0
193,583.0,221.06,3.0,0.5,0.01,2.0
194,587.0,221.06,3.0,0.5,0.01,2.0
195,592.0,221.06,3.0,0.5,0.01,2.0
196,596.0,221.06,3.0,0.5,0.01,2.0
197,600.0,221.06,3.0,0.5,0.01,2.0
198,604.0,221.06,3.0,0.5,0.01,2.0
199,609.0,221.06,3.0,0.5,0.01,2.0
200,613.0,221.06,3.0,0.5,0.01,2.0
201,617.0,221.06,3.0,0.5,0.01,2.0
