TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
NEXT EXPERIMENT0,0.0,-0.2827,3.0,1.5,0.0025,0.5
1,0.0,-0.2827,3.0,1.5,0.0025,0.5
2,0.0,-0.2827,3.0,1.5,0.0025,0.5
3,0.0,-0.2827,3.0,1.5,0.0025,0.5
4,0.0,-0.2827,3.0,1.5,0.0025,0.5
5,0.0,-0.2827,3.0,1.5,0.0025,0.5
6,0.0,-0.2827,3.0,1.5,0.0025,0.5
7,0.0,-0.2827,3.0,1.5,0.0025,0.5
8,0.0,-0.2827,3.0,1.5,0.0025,0.5
9,0.0,-0.2827,3.0,1.5,0.0025,0.5
10,0.0,883.6221,3.0,1.5,0.0025,0.5
11,0.0,883.6221,3.0,1.5,0.0025,0.5
12,0.0,883.6221,3.0,1.5,0.0025,0.5
13,0.0,883.6221,3.0,1.5,0.0025,0.5
14,1.0,883.6221,3.0,1.5,0.0025,0.5
15,1.0,883.6221,3.0,1.5,0.0025,0.5
16,2.0,883.6221,3.0,1.5,0.0025,0.5
17,3.0,883.6221,3.0,1.5,0.0025,0.5
18,4.0,883.6221,3.0,1.5,0.0025,0.5
19,5.0,883.6221,3.0,1.5,0.0025,0.5
20,6.0,719.7683,3.0,1.5,0.0025,0.5
21,7.0,719.7683,3.0,1.5,0.0025,0.5
22,9.0,719.7683,3.0,1.5,0.0025,0.5
23,10.0,719.7683,3.0,1.5,0.0025,0.5
24,12.0,719.7683,3.0,1.5,0.0025,0.5
25,13.0,719.7683,3.0,1.5,0.0025,0.5
26,15.0,719.7683,3.0,1.5,0.0025,0.5
27,17.0,719.7683,3.0,1.5,0.0025,0.5
28,19.0,719.7683,3.0,1.5,0.0025,0.5
29,21.0,719.7683,3.0,1.5,0.0025,0.5
30,23.0,730.2043,3.0,1.5,0.0025,0.5
31,26.0,730.2043,3.0,1.5,0.0025,0.5
32,29.0,730.2043,3.0,1.5,0.0025,0.5
33,31.0,730.2043,3.0,1.5,0.0025,0.5
34,33.0,730.2043,3.0,1.5,0.0025,0.5
35,36.0,730.2043,3.0,1.5,0.0025,0.5
36,38.0,730.2043,3.0,1.5,0.0025,0.5
37,41.0,730.2043,3.0,1.5,0.0025,0.5
38,43.0,730.2043,3.0,1.5,0.0025,0.5
39,46.0,730.2043,3.0,1.5,0.0025,0.5
40,49.0,738.9085,3.0,1.5,0.0025,0.5
41,52.0,738.9085,3.0,1.5,0.0025,0.5
42,55.0,738.9085,3.0,1.5,0.0025,0.5
43,58.0,738.9085,3.0,1.5,0.0025,0.5
44,60.0,738.9085,3.0,1.5,0.0025,0.5
45,63.0,738.9085,3.0,1.5,0.0025,0.5
46,66.0,738.9085,3.0,1.5,0.0025,0.5
47,69.0,738.9085,3.0,1.5,0.0025,0.5
48,72.0,738.9085,3.0,1.5,0.0025,0.5
49,76.0,738.9085,3.0,1.5,0.0025,0.5
50,79.0,746.7292,3.0,1.5,0.0025,0.5
51,82.0,746.7292,3.0,1.5,0.0025,0.5
52,85.0,746.7292,3.0,1.5,0.0025,0.5
53,88.0,746.7292,3.0,1.5,0.0025,0.5
54,92.0,746.7292,3.0,1.5,0.0025,0.5
55,95.0,746.7292,3.0,1.5,0.0025,0.5
56,98.0,746.7292,3.0,1.5,0.0025,0.5
57,102.0,746.7292,3.0,1.5,0.0025,0.5
58,105.0,746.7292,3.0,1.5,0.0025,0.5
59,108.0,746.7292,3.0,1.5,0.0025,0.5
60,112.0,753.941,3.0,1.5,0.0025,0.5
61,115.0,753.941,3.0,1.5,0.0025,0.5
62,119.0,753.941,3.0,1.5,0.0025,0.5
63,122.0,753.941,3.0,1.5,0.0025,0.5
64,126.0,753.941,3.0,1.5,0.0025,0.5
65,129.0,753.941,3.0,1.5,0.0025,0.5
66,133.0,753.941,3.0,1.5,0.0025,0.5
67,137.0,753.941,3.0,1.5,0.0025,0.5
68,140.0,753.941,3.0,1.5,0.0025,0.5
69,144.0,753.941,3.0,1.5,0.0025,0.5
70,147.0,760.6797,3.0,1.5,0.0025,0.5
71,151.0,760.6797,3.0,1.5,0.0025,0.5
72,155.0,760.6797,3.0,1.5,0.0025,0.5
73,158.0,760.6797,3.0,1.5,0.0025,0.5
74,162.0,760.6797,3.0,1.5,0.0025,0.5
75,166.0,760.6797,3.0,1.5,0.0025,0.5
76,170.0,760.6797,3.0,1.5,0.0025,0.5
77,173.0,760.6797,3.0,1.5,0.0025,0.5
78,177.0,760.6797,3.0,1.5,0.0025,0.5
79,182.0,760.6797,3.0,1.5,0.0025,0.5
80,186.0,766.6429,3.0,1.5,0.0025,0.5
81,189.0,766.6429,3.0,1.5,0.0025,0.5
82,193.0,766.6429,3.0,1.5,0.0025,0.5
83,198.0,766.6429,3.0,1.5,0.0025,0.5
84,202.0,766.6429,3.0,1.5,0.0025,0.5
85,206.0,766.6429,3.0,1.5,0.0025,0.5
86,210.0,766.6429,3.0,1.5,0.0025,0.5
87,213.0,766.6429,3.0,1.5,0.0025,0.5
88,217.0,766.6429,3.0,1.5,0.0025,0.5
89,221.0,766.6429,3.0,1.5,0.0025,0.5
90,225.0,772.3586,3.0,1.5,0.0025,0.5
91,229.0,772.3586,3.0,1.5,0.0025,0.5
92,233.0,772.3586,3.0,1.5,0.0025,0.5
93,237.0,772.3586,3.0,1.5,0.0025,0.5
94,241.0,772.3586,3.0,1.5,0.0025,0.5
95,246.0,772.3586,3.0,1.5,0.0025,0.5
