TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,2,9.16,1,2.5,0.01,0.0
1,6,9.16,1,2.5,0.01,0.0
2,9,9.16,1,2.5,0.01,0.0
3,12,9.16,1,2.5,0.01,0.0
4,16,9.16,1,2.5,0.01,0.0
5,19,9.16,1,2.5,0.01,0.0
6,22,9.16,1,2.5,0.01,0.0
7,26,9.16,1,2.5,0.01,0.0
8,29,9.16,1,2.5,0.01,0.0
9,33,9.16,1,2.5,0.01,0.0
10,36,2332.63,1,2.5,0.01,0.0
11,39,2332.63,1,2.5,0.01,0.0
12,43,2332.63,1,2.5,0.01,0.0
13,46,2332.63,1,2.5,0.01,0.0
14,50,2332.63,1,2.5,0.01,0.0
15,53,2332.63,1,2.5,0.01,0.0
16,57,2332.63,1,2.5,0.01,0.0
17,60,2332.63,1,2.5,0.01,0.0
18,64,2332.63,1,2.5,0.01,0.0
19,67,2332.63,1,2.5,0.01,0.0
20,71,1145.05,1,2.5,0.01,0.0
21,74,1145.05,1,2.5,0.01,0.0
22,78,1145.05,1,2.5,0.01,0.0
23,82,1145.05,1,2.5,0.01,0.0
24,85,1145.05,1,2.5,0.01,0.0
25,89,1145.05,1,2.5,0.01,0.0
26,93,1145.05,1,2.5,0.01,0.0
27,97,1145.05,1,2.5,0.01,0.0
28,101,1145.05,1,2.5,0.01,0.0
29,104,1145.05,1,2.5,0.01,0.0
30,108,1131.3,1,2.5,0.01,0.0
31,112,1131.3,1,2.5,0.01,0.0
32,116,1131.3,1,2.5,0.01,0.0
33,120,1131.3,1,2.5,0.01,0.0
34,123,1131.3,1,2.5,0.01,0.0
35,127,1131.3,1,2.5,0.01,0.0
36,131,1131.3,1,2.5,0.01,0.0
37,135,1131.3,1,2.5,0.01,0.0
38,139,1131.3,1,2.5,0.01,0.0
39,143,1131.3,1,2.5,0.01,0.0
40,147,1118.21,1,2.5,0.01,0.0
41,151,1118.21,1,2.5,0.01,0.0
42,155,1118.21,1,2.5,0.01,0.0
43,159,1118.21,1,2.5,0.01,0.0
44,163,1118.21,1,2.5,0.01,0.0
45,167,1118.21,1,2.5,0.01,0.0
46,171,1118.21,1,2.5,0.01,0.0
47,175,1118.21,1,2.5,0.01,0.0
48,179,1118.21,1,2.5,0.01,0.0
49,183,1118.21,1,2.5,0.01,0.0
50,187,1104.79,1,2.5,0.01,0.0
51,192,1104.79,1,2.5,0.01,0.0
52,196,1104.79,1,2.5,0.01,0.0
53,200,1104.79,1,2.5,0.01,0.0
54,204,1104.79,1,2.5,0.01,0.0
55,208,1104.79,1,2.5,0.01,0.0
56,212,1104.79,1,2.5,0.01,0.0
57,216,1104.79,1,2.5,0.01,0.0
58,220,1104.79,1,2.5,0.01,0.0
59,225,1104.79,1,2.5,0.01,0.0
60,229,1091.05,1,2.5,0.01,0.0
61,233,1091.05,1,2.5,0.01,0.0
62,237,1091.05,1,2.5,0.01,0.0
63,241,1091.05,1,2.5,0.01,0.0
64,246,1091.05,1,2.5,0.01,0.0
65,250,1091.05,1,2.5,0.01,0.0
66,254,1091.05,1,2.5,0.01,0.0
67,258,1091.05,1,2.5,0.01,0.0
68,262,1091.05,1,2.5,0.01,0.0
69,267,1091.05,1,2.5,0.01,0.0
70,271,1076.98,1,2.5,0.01,0.0
71,275,1076.98,1,2.5,0.01,0.0
72,279,1076.98,1,2.5,0.01,0.0
73,284,1076.98,1,2.5,0.01,0.0
74,288,1076.98,1,2.5,0.01,0.0
75,292,1076.98,1,2.5,0.01,0.0
76,296,1076.98,1,2.5,0.01,0.0
77,301,1076.98,1,2.5,0.01,0.0
78,305,1076.98,1,2.5,0.01,0.0
79,309,1076.98,1,2.5,0.01,0.0
80,313,1063.23,1,2.5,0.01,0.0
81,318,1063.23,1,2.5,0.01,0.0
82,322,1063.23,1,2.5,0.01,0.0
83,326,1063.23,1,2.5,0.01,0.0
84,331,1063.23,1,2.5,0.01,0.0
85,335,1063.23,1,2.5,0.01,0.0
86,339,1063.23,1,2.5,0.01,0.0
87,343,1063.23,1,2.5,0.01,0.0
88,348,1063.23,1,2.5,0.01,0.0
89,352,1063.23,1,2.5,0.01,0.0
90,356,1048.83,1,2.5,0.01,0.0
91,361,1048.83,1,2.5,0.01,0.0
92,365,1048.83,1,2.5,0.01,0.0
93,369,1048.83,1,2.5,0.01,0.0
94,374,1048.83,1,2.5,0.01,0.0
95,378,1048.83,1,2.5,0.01,0.0
96,382,1048.83,1,2.5,0.01,0.0
97,388,1048.83,1,2.5,0.01,0.0
98,392,1048.83,1,2.5,0.01,0.0
99,396,1048.83,1,2.5,0.01,0.0
100,401,1033.45,1,2.5,0.01,0.0
101,406,1033.45,1,2.5,0.01,0.0
102,410,1033.45,1,2.5,0.01,0.0
103,415,1033.45,1,2.5,0.01,0.0
104,419,1033.45,1,2.5,0.01,0.0
105,423,1033.45,1,2.5,0.01,0.0
106,428,1033.45,1,2.5,0.01,0.0
107,432,1033.45,1,2.5,0.01,0.0
108,436,1033.45,1,2.5,0.01,0.0
109,441,1033.45,1,2.5,0.01,0.0
110,445,1019.38,1,2.5,0.01,0.0
111,449,1019.38,1,2.5,0.01,0.0
112,454,1019.38,1,2.5,0.01,0.0
113,458,1019.38,1,2.5,0.01,0.0
114,462,1019.38,1,2.5,0.01,0.0
115,467,1019.38,1,2.5,0.01,0.0
116,471,1019.38,1,2.5,0.01,0.0
117,476,1019.38,1,2.5,0.01,0.0
118,480,1019.38,1,2.5,0.01,0.0
119,484,1019.38,1,2.5,0.01,0.0
120,489,1004.98,1,2.5,0.01,0.0
121,493,1004.98,1,2.5,0.01,0.0
122,497,1004.98,1,2.5,0.01,0.0
123,503,1004.98,1,2.5,0.01,0.0
124,507,1004.98,1,2.5,0.01,0.0
125,512,1004.98,1,2.5,0.01,0.0
126,516,1004.98,1,2.5,0.01,0.0
127,520,1004.98,1,2.5,0.01,0.0
128,525,1004.98,1,2.5,0.01,0.0
129,529,1004.98,1,2.5,0.01,0.0
130,534,990.58,1,2.5,0.01,0.0
131,538,990.58,1,2.5,0.01,0.0
132,542,990.58,1,2.5,0.01,0.0
133,547,990.58,1,2.5,0.01,0.0
134,551,990.58,1,2.5,0.01,0.0
135,555,990.58,1,2.5,0.01,0.0
136,560,990.58,1,2.5,0.01,0.0
137,564,990.58,1,2.5,0.01,0.0
138,569,990.58,1,2.5,0.01,0.0
139,573,990.58,1,2.5,0.01,0.0
140,577,976.18,1,2.5,0.01,0.0
141,583,976.18,1,2.5,0.01,0.0
142,587,976.18,1,2.5,0.01,0.0
143,592,976.18,1,2.5,0.01,0.0
144,596,976.18,1,2.5,0.01,0.0
145,601,976.18,1,2.5,0.01,0.0
146,606,976.18,1,2.5,0.01,0.0
147,610,976.18,1,2.5,0.01,0.0
148,614,976.18,1,2.5,0.01,0.0
149,619,976.18,1,2.5,0.01,0.0
150,623,960.48,1,2.5,0.01,0.0
151,628,960.48,1,2.5,0.01,0.0
152,632,960.48,1,2.5,0.01,0.0
153,636,960.48,1,2.5,0.01,0.0
154,641,960.48,1,2.5,0.01,0.0
155,645,960.48,1,2.5,0.01,0.0
156,650,960.48,1,2.5,0.01,0.0
157,655,960.48,1,2.5,0.01,0.0
158,659,960.48,1,2.5,0.01,0.0
159,664,960.48,1,2.5,0.01,0.0
