Los experimentos presentes y sus nombres son
FinalRad = 6.2800, Controller = 0.0, , Kp = 10.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_0.0_10.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0.0, , Kp = 5.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_0.0_5.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0.0, , Kp = 2.5000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_0.0_2.5_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0.0, , Kp = 1.2500, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_0.0_1.25_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0.0, , Kp = 0.6250, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_0.0_0.625_0.0_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 10.0000, TauD = 0.0500, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_10.0_0.05_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 5.0000, TauD = 0.0500, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_5.0_0.05_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 2.5000, TauD = 0.0500, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_2.5_0.05_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 1.2500, TauD = 0.0500, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_1.25_0.05_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 0.6250, TauD = 0.0500, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_0.625_0.05_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 10.0000, TauD = 0.0250, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_10.0_0.025_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 5.0000, TauD = 0.0250, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_5.0_0.025_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 2.5000, TauD = 0.0250, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_2.5_0.025_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 1.2500, TauD = 0.0250, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_1.25_0.025_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 0.6250, TauD = 0.0250, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_0.625_0.025_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 10.0000, TauD = 0.0125, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_10.0_0.0125_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 5.0000, TauD = 0.0125, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_5.0_0.0125_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 2.5000, TauD = 0.0125, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_2.5_0.0125_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 1.2500, TauD = 0.0125, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_1.25_0.0125_0.0.txt
FinalRad = 6.2800, Controller = 1.0, , Kp = 0.6250, TauD = 0.0125, TauI = 0.0000, nombre del fichero = outputFolder/data4/data/exp_6.28_1.0_0.625_0.0125_0.0.txt
