TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,0,-0.3927,1,1.5,0.01,0.0
1,0,-0.3927,1,1.5,0.01,0.0
2,0,-0.3927,1,1.5,0.01,0.0
3,0,-0.3927,1,1.5,0.01,0.0
4,0,-0.3927,1,1.5,0.01,0.0
5,0,-0.3927,1,1.5,0.01,0.0
6,0,-0.3927,1,1.5,0.01,0.0
7,0,-0.3927,1,1.5,0.01,0.0
8,0,-0.3927,1,1.5,0.01,0.0
9,0,-0.3927,1,1.5,0.01,0.0
10,0,706.8584,1,1.5,0.01,0.0
11,0,706.8584,1,1.5,0.01,0.0
12,0,706.8584,1,1.5,0.01,0.0
13,0,706.8584,1,1.5,0.01,0.0
14,0,706.8584,1,1.5,0.01,0.0
15,1,706.8584,1,1.5,0.01,0.0
16,2,706.8584,1,1.5,0.01,0.0
17,2,706.8584,1,1.5,0.01,0.0
18,3,706.8584,1,1.5,0.01,0.0
19,4,706.8584,1,1.5,0.01,0.0
20,5,705.2876,1,1.5,0.01,0.0
21,7,705.2876,1,1.5,0.01,0.0
22,8,705.2876,1,1.5,0.01,0.0
23,9,705.2876,1,1.5,0.01,0.0
24,11,705.2876,1,1.5,0.01,0.0
25,13,705.2876,1,1.5,0.01,0.0
26,14,705.2876,1,1.5,0.01,0.0
27,16,705.2876,1,1.5,0.01,0.0
28,18,705.2876,1,1.5,0.01,0.0
29,20,705.2876,1,1.5,0.01,0.0
30,22,699.7898,1,1.5,0.01,0.0
31,24,699.7898,1,1.5,0.01,0.0
32,27,699.7898,1,1.5,0.01,0.0
33,29,699.7898,1,1.5,0.01,0.0
34,31,699.7898,1,1.5,0.01,0.0
35,34,699.7898,1,1.5,0.01,0.0
36,36,699.7898,1,1.5,0.01,0.0
37,39,699.7898,1,1.5,0.01,0.0
38,41,699.7898,1,1.5,0.01,0.0
39,44,699.7898,1,1.5,0.01,0.0
40,47,693.5066,1,1.5,0.01,0.0
41,49,693.5066,1,1.5,0.01,0.0
42,52,693.5066,1,1.5,0.01,0.0
43,55,693.5066,1,1.5,0.01,0.0
44,58,693.5066,1,1.5,0.01,0.0
45,61,693.5066,1,1.5,0.01,0.0
46,64,693.5066,1,1.5,0.01,0.0
47,67,693.5066,1,1.5,0.01,0.0
48,70,693.5066,1,1.5,0.01,0.0
49,73,693.5066,1,1.5,0.01,0.0
50,76,686.8307,1,1.5,0.01,0.0
51,79,686.8307,1,1.5,0.01,0.0
52,82,686.8307,1,1.5,0.01,0.0
53,86,686.8307,1,1.5,0.01,0.0
54,89,686.8307,1,1.5,0.01,0.0
55,92,686.8307,1,1.5,0.01,0.0
56,96,686.8307,1,1.5,0.01,0.0
57,99,686.8307,1,1.5,0.01,0.0
58,102,686.8307,1,1.5,0.01,0.0
59,106,686.8307,1,1.5,0.01,0.0
60,109,679.5658,1,1.5,0.01,0.0
61,112,679.5658,1,1.5,0.01,0.0
62,116,679.5658,1,1.5,0.01,0.0
63,119,679.5658,1,1.5,0.01,0.0
64,123,679.5658,1,1.5,0.01,0.0
65,126,679.5658,1,1.5,0.01,0.0
66,130,679.5658,1,1.5,0.01,0.0
67,133,679.5658,1,1.5,0.01,0.0
68,137,679.5658,1,1.5,0.01,0.0
69,141,679.5658,1,1.5,0.01,0.0
70,145,672.3008,1,1.5,0.01,0.0
71,149,672.3008,1,1.5,0.01,0.0
72,153,672.3008,1,1.5,0.01,0.0
73,156,672.3008,1,1.5,0.01,0.0
74,160,672.3008,1,1.5,0.01,0.0
75,165,672.3008,1,1.5,0.01,0.0
76,168,672.3008,1,1.5,0.01,0.0
77,172,672.3008,1,1.5,0.01,0.0
78,176,672.3008,1,1.5,0.01,0.0
79,179,672.3008,1,1.5,0.01,0.0
80,183,663.8578,1,1.5,0.01,0.0
81,187,663.8578,1,1.5,0.01,0.0
82,191,663.8578,1,1.5,0.01,0.0
83,195,663.8578,1,1.5,0.01,0.0
84,199,663.8578,1,1.5,0.01,0.0
85,202,663.8578,1,1.5,0.01,0.0
86,206,663.8578,1,1.5,0.01,0.0
87,210,663.8578,1,1.5,0.01,0.0
88,215,663.8578,1,1.5,0.01,0.0
89,219,663.8578,1,1.5,0.01,0.0
90,223,656.2002,1,1.5,0.01,0.0
91,227,656.2002,1,1.5,0.01,0.0
92,231,656.2002,1,1.5,0.01,0.0
93,235,656.2002,1,1.5,0.01,0.0
94,239,656.2002,1,1.5,0.01,0.0
95,243,656.2002,1,1.5,0.01,0.0
96,248,656.2002,1,1.5,0.01,0.0
97,252,656.2002,1,1.5,0.01,0.0
98,256,656.2002,1,1.5,0.01,0.0
99,259,656.2002,1,1.5,0.01,0.0
100,264,647.7571,1,1.5,0.01,0.0
101,268,647.7571,1,1.5,0.01,0.0
102,272,647.7571,1,1.5,0.01,0.0
103,276,647.7571,1,1.5,0.01,0.0
104,280,647.7571,1,1.5,0.01,0.0
105,284,647.7571,1,1.5,0.01,0.0
106,288,647.7571,1,1.5,0.01,0.0
107,292,647.7571,1,1.5,0.01,0.0
108,297,647.7571,1,1.5,0.01,0.0
109,301,647.7571,1,1.5,0.01,0.0
110,305,639.7068,1,1.5,0.01,0.0
111,309,639.7068,1,1.5,0.01,0.0
112,314,639.7068,1,1.5,0.01,0.0
113,318,639.7068,1,1.5,0.01,0.0
114,321,639.7068,1,1.5,0.01,0.0
115,325,639.7068,1,1.5,0.01,0.0
116,329,639.7068,1,1.5,0.01,0.0
117,333,639.7068,1,1.5,0.01,0.0
118,337,639.7068,1,1.5,0.01,0.0
119,341,639.7068,1,1.5,0.01,0.0
120,345,631.6565,1,1.5,0.01,0.0
121,349,631.6565,1,1.5,0.01,0.0
122,353,631.6565,1,1.5,0.01,0.0
123,357,631.6565,1,1.5,0.01,0.0
124,362,631.6565,1,1.5,0.01,0.0
125,366,631.6565,1,1.5,0.01,0.0
126,370,631.6565,1,1.5,0.01,0.0
127,374,631.6565,1,1.5,0.01,0.0
128,379,631.6565,1,1.5,0.01,0.0
129,383,631.6565,1,1.5,0.01,0.0
130,387,623.6061,1,1.5,0.01,0.0
131,391,623.6061,1,1.5,0.01,0.0
132,396,623.6061,1,1.5,0.01,0.0
133,400,623.6061,1,1.5,0.01,0.0
134,404,623.6061,1,1.5,0.01,0.0
135,408,623.6061,1,1.5,0.01,0.0
136,412,623.6061,1,1.5,0.01,0.0
137,417,623.6061,1,1.5,0.01,0.0
138,421,623.6061,1,1.5,0.01,0.0
139,425,623.6061,1,1.5,0.01,0.0
140,430,614.7704,1,1.5,0.01,0.0
141,434,614.7704,1,1.5,0.01,0.0
142,439,614.7704,1,1.5,0.01,0.0
143,443,614.7704,1,1.5,0.01,0.0
144,447,614.7704,1,1.5,0.01,0.0
145,451,614.7704,1,1.5,0.01,0.0
146,455,614.7704,1,1.5,0.01,0.0
147,459,614.7704,1,1.5,0.01,0.0
148,463,614.7704,1,1.5,0.01,0.0
149,467,614.7704,1,1.5,0.01,0.0
150,471,607.1128,1,1.5,0.01,0.0
151,475,607.1128,1,1.5,0.01,0.0
152,480,607.1128,1,1.5,0.01,0.0
153,484,607.1128,1,1.5,0.01,0.0
154,488,607.1128,1,1.5,0.01,0.0
155,492,607.1128,1,1.5,0.01,0.0
156,496,607.1128,1,1.5,0.01,0.0
157,500,607.1128,1,1.5,0.01,0.0
158,504,607.1128,1,1.5,0.01,0.0
159,508,607.1128,1,1.5,0.01,0.0
160,512,598.6697,1,1.5,0.01,0.0
161,516,598.6697,1,1.5,0.01,0.0
162,521,598.6697,1,1.5,0.01,0.0
163,525,598.6697,1,1.5,0.01,0.0
164,529,598.6697,1,1.5,0.01,0.0
165,533,598.6697,1,1.5,0.01,0.0
166,538,598.6697,1,1.5,0.01,0.0
167,542,598.6697,1,1.5,0.01,0.0
168,546,598.6697,1,1.5,0.01,0.0
169,550,598.6697,1,1.5,0.01,0.0
170,554,590.8157,1,1.5,0.01,0.0
171,558,590.8157,1,1.5,0.01,0.0
172,562,590.8157,1,1.5,0.01,0.0
173,566,590.8157,1,1.5,0.01,0.0
174,570,590.8157,1,1.5,0.01,0.0
175,574,590.8157,1,1.5,0.01,0.0
176,579,590.8157,1,1.5,0.01,0.0
177,583,590.8157,1,1.5,0.01,0.0
178,587,590.8157,1,1.5,0.01,0.0
179,591,590.8157,1,1.5,0.01,0.0
180,597,582.3727,1,1.5,0.01,0.0
181,601,582.3727,1,1.5,0.01,0.0
182,605,582.3727,1,1.5,0.01,0.0
183,609,582.3727,1,1.5,0.01,0.0
184,614,582.3727,1,1.5,0.01,0.0
185,618,582.3727,1,1.5,0.01,0.0
186,623,582.3727,1,1.5,0.01,0.0
187,627,582.3727,1,1.5,0.01,0.0
188,632,582.3727,1,1.5,0.01,0.0
189,636,582.3727,1,1.5,0.01,0.0
190,640,573.3407,1,1.5,0.01,0.0
191,644,573.3407,1,1.5,0.01,0.0
192,648,573.3407,1,1.5,0.01,0.0
193,652,573.3407,1,1.5,0.01,0.0
194,656,573.3407,1,1.5,0.01,0.0
195,660,573.3407,1,1.5,0.01,0.0
196,665,573.3407,1,1.5,0.01,0.0
197,669,573.3407,1,1.5,0.01,0.0
198,673,573.3407,1,1.5,0.01,0.0
199,678,573.3407,1,1.5,0.01,0.0
200,682,565.094,1,1.5,0.01,0.0
201,686,565.094,1,1.5,0.01,0.0
202,690,565.094,1,1.5,0.01,0.0
203,695,565.094,1,1.5,0.01,0.0
204,699,565.094,1,1.5,0.01,0.0
205,703,565.094,1,1.5,0.01,0.0
206,707,565.094,1,1.5,0.01,0.0
207,711,565.094,1,1.5,0.01,0.0
208,715,565.094,1,1.5,0.01,0.0
209,719,565.094,1,1.5,0.01,0.0
210,723,557.829,1,1.5,0.01,0.0
211,727,557.829,1,1.5,0.01,0.0
212,731,557.829,1,1.5,0.01,0.0
213,735,557.829,1,1.5,0.01,0.0
214,739,557.829,1,1.5,0.01,0.0
215,743,557.829,1,1.5,0.01,0.0
216,747,557.829,1,1.5,0.01,0.0
217,752,557.829,1,1.5,0.01,0.0
218,756,557.829,1,1.5,0.01,0.0
219,760,557.829,1,1.5,0.01,0.0
220,764,549.5824,1,1.5,0.01,0.0
221,767,549.5824,1,1.5,0.01,0.0
222,771,549.5824,1,1.5,0.01,0.0
223,775,549.5824,1,1.5,0.01,0.0
224,779,549.5824,1,1.5,0.01,0.0
225,783,549.5824,1,1.5,0.01,0.0
226,787,549.5824,1,1.5,0.01,0.0
227,791,549.5824,1,1.5,0.01,0.0
228,795,549.5824,1,1.5,0.01,0.0
229,799,549.5824,1,1.5,0.01,0.0
230,803,541.9247,1,1.5,0.01,0.0
231,808,541.9247,1,1.5,0.01,0.0
232,812,541.9247,1,1.5,0.01,0.0
233,815,541.9247,1,1.5,0.01,0.0
234,819,541.9247,1,1.5,0.01,0.0
235,824,541.9247,1,1.5,0.01,0.0
236,828,541.9247,1,1.5,0.01,0.0
237,832,541.9247,1,1.5,0.01,0.0
238,836,541.9247,1,1.5,0.01,0.0
239,840,541.9247,1,1.5,0.01,0.0
240,844,534.0707,1,1.5,0.01,0.0
241,848,534.0707,1,1.5,0.01,0.0
242,852,534.0707,1,1.5,0.01,0.0
243,857,534.0707,1,1.5,0.01,0.0
244,861,534.0707,1,1.5,0.01,0.0
245,865,534.0707,1,1.5,0.01,0.0
246,869,534.0707,1,1.5,0.01,0.0
247,873,534.0707,1,1.5,0.01,0.0
248,877,534.0707,1,1.5,0.01,0.0
249,881,534.0707,1,1.5,0.01,0.0
250,886,525.4314,1,1.5,0.01,0.0
251,890,525.4314,1,1.5,0.01,0.0
252,894,525.4314,1,1.5,0.01,0.0
253,898,525.4314,1,1.5,0.01,0.0
254,902,525.4314,1,1.5,0.01,0.0
255,907,525.4314,1,1.5,0.01,0.0
256,911,525.4314,1,1.5,0.01,0.0
257,916,525.4314,1,1.5,0.01,0.0
258,920,525.4314,1,1.5,0.01,0.0
259,924,525.4314,1,1.5,0.01,0.0
260,928,516.792,1,1.5,0.01,0.0
261,932,516.792,1,1.5,0.01,0.0
262,937,516.792,1,1.5,0.01,0.0
263,941,516.792,1,1.5,0.01,0.0
264,945,516.792,1,1.5,0.01,0.0
265,949,516.792,1,1.5,0.01,0.0
266,953,516.792,1,1.5,0.01,0.0
267,957,516.792,1,1.5,0.01,0.0
268,960,516.792,1,1.5,0.01,0.0
269,964,516.792,1,1.5,0.01,0.0
270,968,509.9198,1,1.5,0.01,0.0
271,972,509.9198,1,1.5,0.01,0.0
272,976,509.9198,1,1.5,0.01,0.0
273,980,509.9198,1,1.5,0.01,0.0
274,984,509.9198,1,1.5,0.01,0.0
275,989,509.9198,1,1.5,0.01,0.0
276,993,509.9198,1,1.5,0.01,0.0
277,997,509.9198,1,1.5,0.01,0.0
278,1002,509.9198,1,1.5,0.01,0.0
279,1006,509.9198,1,1.5,0.01,0.0
280,1010,501.0841,1,1.5,0.01,0.0
281,1014,501.0841,1,1.5,0.01,0.0
282,1018,501.0841,1,1.5,0.01,0.0
283,1022,501.0841,1,1.5,0.01,0.0
284,1026,501.0841,1,1.5,0.01,0.0
285,1030,501.0841,1,1.5,0.01,0.0
286,1034,501.0841,1,1.5,0.01,0.0
287,1038,501.0841,1,1.5,0.01,0.0
288,1043,501.0841,1,1.5,0.01,0.0
289,1047,501.0841,1,1.5,0.01,0.0
290,1051,493.2301,1,1.5,0.01,0.0
291,1055,493.2301,1,1.5,0.01,0.0
292,1060,493.2301,1,1.5,0.01,0.0
293,1064,493.2301,1,1.5,0.01,0.0
294,1068,493.2301,1,1.5,0.01,0.0
295,1072,493.2301,1,1.5,0.01,0.0
296,1076,493.2301,1,1.5,0.01,0.0
297,1080,493.2301,1,1.5,0.01,0.0
298,1084,493.2301,1,1.5,0.01,0.0
299,1089,493.2301,1,1.5,0.01,0.0
300,1093,484.787,1,1.5,0.01,0.0
301,1097,484.787,1,1.5,0.01,0.0
302,1101,484.787,1,1.5,0.01,0.0
303,1105,484.787,1,1.5,0.01,0.0
304,1110,484.787,1,1.5,0.01,0.0
305,1114,484.787,1,1.5,0.01,0.0
306,1118,484.787,1,1.5,0.01,0.0
307,1122,484.787,1,1.5,0.01,0.0
308,1126,484.787,1,1.5,0.01,0.0
309,1131,484.787,1,1.5,0.01,0.0
