TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,0.0,0.4402,3.0,0.375,0.01,0.25
1,0.0,0.4402,3.0,0.375,0.01,0.25
2,0.0,0.4402,3.0,0.375,0.01,0.25
3,0.0,0.4402,3.0,0.375,0.01,0.25
4,0.0,0.4402,3.0,0.375,0.01,0.25
5,0.0,0.4402,3.0,0.375,0.01,0.25
6,0.0,0.4402,3.0,0.375,0.01,0.25
7,0.0,0.4402,3.0,0.375,0.01,0.25
8,0.0,0.4402,3.0,0.375,0.01,0.25
9,0.0,0.4402,3.0,0.375,0.01,0.25
10,0.0,353.4783,3.0,0.375,0.01,0.25
11,0.0,353.4783,3.0,0.375,0.01,0.25
12,0.0,353.4783,3.0,0.375,0.01,0.25
13,1.0,353.4783,3.0,0.375,0.01,0.25
14,1.0,353.4783,3.0,0.375,0.01,0.25
15,2.0,353.4783,3.0,0.375,0.01,0.25
16,3.0,353.4783,3.0,0.375,0.01,0.25
17,4.0,353.4783,3.0,0.375,0.01,0.25
18,5.0,353.4783,3.0,0.375,0.01,0.25
19,6.0,353.4783,3.0,0.375,0.01,0.25
20,7.0,183.1941,3.0,0.375,0.01,0.25
21,8.0,183.1941,3.0,0.375,0.01,0.25
22,10.0,183.1941,3.0,0.375,0.01,0.25
23,12.0,183.1941,3.0,0.375,0.01,0.25
24,13.0,183.1941,3.0,0.375,0.01,0.25
25,15.0,183.1941,3.0,0.375,0.01,0.25
26,17.0,183.1941,3.0,0.375,0.01,0.25
27,19.0,183.1941,3.0,0.375,0.01,0.25
28,21.0,183.1941,3.0,0.375,0.01,0.25
29,23.0,183.1941,3.0,0.375,0.01,0.25
30,25.0,188.8765,3.0,0.375,0.01,0.25
31,27.0,188.8765,3.0,0.375,0.01,0.25
32,30.0,188.8765,3.0,0.375,0.01,0.25
33,32.0,188.8765,3.0,0.375,0.01,0.25
34,34.0,188.8765,3.0,0.375,0.01,0.25
35,37.0,188.8765,3.0,0.375,0.01,0.25
36,39.0,188.8765,3.0,0.375,0.01,0.25
37,42.0,188.8765,3.0,0.375,0.01,0.25
