Los experimentos presentes y sus nombres son
FinalRad = 6.2800, Controller = 0, , Kp = 1000.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_1000.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 500.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_500.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 250.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_250.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 125.0000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_125.0_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 62.5000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_62.5_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 31.2500, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_31.25_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 15.6250, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_15.625_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 7.8125, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_7.8125_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 3.9062, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_3.90625_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 1.9531, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_1.953125_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.9766, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_0.976562_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.4883, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_0.488281_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.2441, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_0.244141_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.1221, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data3/data/exp_6.28_0_0.12207_0.0_0.0.txt
